concept_id,standard,concept,description,source_url
20,Six Sigma,General,General linear model,https://en.wikipedia.org/wiki/Six_Sigma
21,Six Sigma,ANOVA,ANOVA Gauge R&R,https://en.wikipedia.org/wiki/Six_Sigma
22,Six Sigma,Regression,Regression analysis,https://en.wikipedia.org/wiki/Six_Sigma
23,Six Sigma,Correlation,Correlation,https://en.wikipedia.org/wiki/Six_Sigma
24,Six Sigma,Scatter,Scatter diagram,https://en.wikipedia.org/wiki/Six_Sigma
25,Six Sigma,Chi-squared,Chi-squared test,https://en.wikipedia.org/wiki/Six_Sigma
26,Six Sigma,Axiomatic,Axiomatic design,https://en.wikipedia.org/wiki/Six_Sigma
27,Six Sigma,Business,Business Process Mapping/Check sheet,https://en.wikipedia.org/wiki/Six_Sigma
28,Six Sigma,Cause,Cause & effects diagram (also known as fishbone or Ishikawa diagram),https://en.wikipedia.org/wiki/Six_Sigma
29,Six Sigma,Control,Control chart/Control plan (also known as a swimlane map)/Run charts,https://en.wikipedia.org/wiki/Six_Sigma
30,Six Sigma,Cost–benefit,Cost–benefit analysis,https://en.wikipedia.org/wiki/Six_Sigma
31,Six Sigma,CTQ,CTQ tree,https://en.wikipedia.org/wiki/Six_Sigma
32,Six Sigma,Design,Design of experiments/Stratification,https://en.wikipedia.org/wiki/Six_Sigma
33,Six Sigma,Histograms/Pareto,Histograms/Pareto analysis/Pareto chart,https://en.wikipedia.org/wiki/Six_Sigma
34,Six Sigma,Pick,Pick chart/Process capability/Rolled throughput yield,https://en.wikipedia.org/wiki/Six_Sigma
35,Six Sigma,Quality,Quality Function Deployment (QFD),https://en.wikipedia.org/wiki/Six_Sigma
36,Six Sigma,Quantitative,Quantitative marketing research through use of Enterprise Feedback Management (EFM) systems,https://en.wikipedia.org/wiki/Six_Sigma
37,Six Sigma,Root,Root cause analysis,https://en.wikipedia.org/wiki/Six_Sigma
38,Six Sigma,SIPOC,"SIPOC analysis (Suppliers, Inputs, Process, Outputs, Customers)",https://en.wikipedia.org/wiki/Six_Sigma
39,Six Sigma,COPIS,COPIS analysis (Customer centric version/perspective of SIPOC),https://en.wikipedia.org/wiki/Six_Sigma
40,Six Sigma,Taguchi,Taguchi methods/Taguchi Loss Function,https://en.wikipedia.org/wiki/Six_Sigma
41,Six Sigma,Value,Value stream mapping,https://en.wikipedia.org/wiki/Six_Sigma
42,Six Sigma,FMEA,FMEA,https://en.wikipedia.org/wiki/Six_Sigma
43,Six Sigma,5S,5S (methodology),https://en.wikipedia.org/wiki/Six_Sigma
44,SPC,SPC,"Statistical process control (SPC) or statistical quality control (SQC) is the application of statistical methods to monitor and control the quality of a production process. This helps to ensure that the process operates efficiently, producing more specification-conforming products with less waste scrap. SPC can be applied to any process where the ""conforming product"" (product meeting specifications) output can be measured. Key tools used in SPC include run charts, control charts, a focus on continuous improvement, and the design of experiments. An example of a process where SPC is applied is manufacturing lines. SPC must be practiced in two phases: the first phase is the initial establishment of the process, and the second phase is the regular production use of the process. In the second phase, a decision of the period to be examined must be made, depending upon the change in 5M&E conditions (Man, Machine, Material, Method, Movement, Environment) and wear rate of parts used in the manufacturing process (machine parts, jigs, and fixtures). An advantage of SPC over other methods of quality control, such as ""inspection"", is that it emphasizes early detection and prevention of problems, rather than the correction of problems after they have occurred. In addition to reducing waste, SPC can lead to a reduction in the time required to produce the product. SPC makes it less likely the finished product will need to be reworked or scrapped.",https://en.wikipedia.org/wiki/Statistical_process_control
